"Jahr";"A";"B";"2. Jahr";"3. Jahr";"4. Jahr";"5. Jahr"
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.7._davon: d. ohne Rating (nr)";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.8._davon: a. Staaten und Gebietskörperschaften";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.9._davon: b. Banken";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.10._davon: unbesichert";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.11._davon: c. Unternehmen";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.3._Anlagen mit Eigenkapitalcharakter";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.4._Immobilien";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.5._Sonstige Kapitalanlagen";;;;
2016;"F.";"Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.1._gesamte Neu- und Wiederanlage";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2._Anlagen mit Rentencharakter";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.4._davon: a. Investment Grade (AAA bis BBB)";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.5._davon: b. Speculative Grade (BB bis B)";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.6_davon: c. Default risk/Default (CCC bis D)";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.7._davon: d. ohne Rating (nr)";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.8._davon: a. Staaten und Gebietskörperschaften";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.9._davon: b. Banken";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.10._davon: unbesichert";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.11._davon: c. Unternehmen";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.3._Anlagen mit Eigenkapitalcharakter";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.4._Immobilien";;;;
2016;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.5._Sonstige Kapitalanlagen";;;;
2016;"G.";"Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.1._Neu- und Wiederanlage gesamt (II.C.7.)";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2._Anlagen mit Rentencharakter";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.4._davon: a. Investment Grade (AAA bis BBB)";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.5._davon: b. Speculative Grade (BB bis B)";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.6_davon: c. Default risk/Default (CCC bis D)";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.7._davon: d. ohne Rating (nr)";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.8._davon: a. Staaten und Gebietskörperschaften";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.9._davon: b. Banken";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.10._davon: unbesichert";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.11._davon: c. Unternehmen";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.3._Anlagen mit Eigenkapitalcharakter";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.4._Immobilien";;;;
2016;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.5._Sonstige Kapitalanlagen";;;;
2017;"A.";"Ergebnisprognose des zweiten bis fünften Geschäftsjahres";;;;
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";40870;40709;40341;39908
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";202;56;58;71
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";25764;31149;29156;29791
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";23714;24949;25556;25791
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";2050;6200;3600;4000
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";487;548;616;707
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";5041;41;41;121
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";16661;18637;21008;22461
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";48612;46825;43134;42078
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";410;458;348;360
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";1347;1313;1292;1292
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";4883;4847;4040;4018
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";1231;1327;1376;1376
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";3652;3520;2664;2642
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";0;0;0;0
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";67;42;24;12
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";384;381;366;377
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";-344;-341;-336;-337
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";40;40;30;40
2017;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";0;0;0;0
2017;"B.";"Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";;;;
2017;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";31702;31948;32056;32222
2017;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung (inkl. SÜAF, entsprechend NW 702 Seite 1, Zeile 19)";8487;8692;8771;8896
2017;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;;;
2017;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.4._davon: stille Nettoreserven";;;;
2017;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";;;;
2017;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.6._Solvabilitätskapitalanforderung";27599;29420;31088;32707
2017;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";;;;
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des zweiten bis fünften Geschäftsjahres";31672;27466;24211;15729
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";6066;6867;6053;3932
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.3._davon: in Immobilien";0;0;0;0
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";0;0;0;0
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des zweiten bis fünften Geschäftsjahres";3785;6067;8383;9402
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.6_davon: in zum Nennwert bilanzierten Kapitalanlagen";946;1517;2096;2350
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im zweiten bis fünften Geschäftsjahr";74772;63998;145514;170777
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des zweiten bis fünften Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";703159;739136;782351;824296
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.9._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 139 Abs. 3 VAG";27886;21400;15828;6327
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.10._Sicherungsbedarf gem. § 139 Abs. 4 VAG";147570;142517;138525;133878
2017;"D.";"sonstige Angaben zum zweiten bis fünften Geschäftsjahr";;;;
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";426;378;287;197
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";9109;8722;6989;7108
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";712;605;488;408
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1. bis D.3. enthalten ist (in A.7. enthalten)";0;0;0;0
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.5._Durchschnittlicher Rechnungszins des zweiten bis fünften Geschäftsjahres in %";2,54;2,43;2,32;2,26
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.6._Erwarten Sie für das zweite bis fünfte Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben).";0;0;0;0
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.7._Erwarten Sie für das zweite bis fünfte Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 140 Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben)";1;0;0;0
2017;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";674335;719708;761346;801873
2017;"E.";"Angaben zu den Kapitalanlagen in Szenario 1.2";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.1._Kapitalanlagen gesamt";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2._Anlagen mit Rentencharakter";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.4._davon: a. Investment Grade (AAA bis BBB)";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.5._davon: b. Speculative Grade (BB bis B)";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.6_davon: c. Default risk/Default (CCC bis D)";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.7._davon: d. ohne Rating (nr)";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.8._davon: a. Staaten und Gebietskörperschaften";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.9._davon: b. Banken";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.10._davon: unbesichert";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.11._davon: c. Unternehmen";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.3._Anlagen mit Eigenkapitalcharakter";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.4._Immobilien";;;;
2017;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.5._Sonstige Kapitalanlagen";;;;
2017;"F.";"Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.1._gesamte Neu- und Wiederanlage";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2._Anlagen mit Rentencharakter";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.4._davon: a. Investment Grade (AAA bis BBB)";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.5._davon: b. Speculative Grade (BB bis B)";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.6_davon: c. Default risk/Default (CCC bis D)";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.7._davon: d. ohne Rating (nr)";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.8._davon: a. Staaten und Gebietskörperschaften";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.9._davon: b. Banken";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.10._davon: unbesichert";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.11._davon: c. Unternehmen";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.3._Anlagen mit Eigenkapitalcharakter";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.4._Immobilien";;;;
2017;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.5._Sonstige Kapitalanlagen";;;;
2017;"G.";"Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.1._Neu- und Wiederanlage gesamt (II.C.7.)";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2._Anlagen mit Rentencharakter";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.4._davon: a. Investment Grade (AAA bis BBB)";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.5._davon: b. Speculative Grade (BB bis B)";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.6_davon: c. Default risk/Default (CCC bis D)";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.7._davon: d. ohne Rating (nr)";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.8._davon: a. Staaten und Gebietskörperschaften";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.9._davon: b. Banken";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.10._davon: unbesichert";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.11._davon: c. Unternehmen";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.3._Anlagen mit Eigenkapitalcharakter";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.4._Immobilien";;;;
2017;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.5._Sonstige Kapitalanlagen";;;;
2018;"A.";"Ergebnisprognose des zweiten bis fünften Geschäftsjahres";;;;
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";38872;38483;37902;37212
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";140;101;116;91
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";24559;25156;26340;27162
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";23659;25156;26340;26662
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";900;0;0;500
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";542;471;516;577
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";25;26;119;45
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";18422;21384;22832;25106
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";41190;38181;36256;33493
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";33;227;1349;330
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";1576;1555;1546;1541
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";2533;2576;2576;4293
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";1345;1387;1387;1387
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";1189;1189;1189;2906
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";0;0;0;0
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";21;11;11;11
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";363;303;423;313
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";-283;-283;-283;-283
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";80;20;140;30
2018;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";0;0;0;0
2018;"B.";"Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";;;;
2018;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";37003;37001;38264;38357
2018;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung (inkl. SÜAF, entsprechend NW 702 Seite 1, Zeile 19)";13193;13171;14294;14356
2018;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;;;
2018;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.4._davon: stille Nettoreserven";;;;
2018;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";;;;
2018;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.6._Solvabilitätskapitalanforderung";30261;31788;33233;34566
2018;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";;;;
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des zweiten bis fünften Geschäftsjahres";24867;10816;8712;7824
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";4973;2163;1742;1565
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.3._davon: in Immobilien";0;0;0;0
