"Jahr";"A";"B";"F";"Szenario 1";"Szenario 2";"Szenario 3";"Szenario 4"
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";;40;40;40;40
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";;0;0;0;0
2017;"B.";"Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";;;;;
2017;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";;36642;36642;36642;36642
2017;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung (inkl. SÜAF, entsprechend NW 702 Seite 1, Zeile 19)";;13466;13466;13466;13466
2017;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;;;;
2017;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.4._davon: stille Nettoreserven";;;;;
2017;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";;;;;
2017;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.6._Solvabilitätskapitalanforderung";;25714;25714;25714;25714
2017;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";;;;;
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des ersten Geschäftsjahres";;50980;50980;15286;15286
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";;14255;14255;4255;4255
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.3._davon: in Immobilien";;586;586;586;586
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";;0;0;0;0
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des ersten Geschäftsjahres";;0;2277;30119;32396
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.6._davon: in zum Nennwert bilanzierten Kapitalanlagen";;0;0;0;0
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im ersten Geschäftsjahr";;76200;76200;76200;76200
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des ersten Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";;664896;664896;664896;664896
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.9._Buchwert der Kapitalanlagen zum Ende des Vorjahres (Formblatt 1, Aktivseite, C., RechVersV)";;617273;617273;617273;617273
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.10._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 139 Abs. 3 VAG";;50394;50394;-15419;-15419
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.11._Sicherungsbedarf gem. § 139 Abs. 4 VAG";;152507;;;
2017;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"";;;;;
2017;"D.";"sonstige Angaben";;;;;
2017;"D._sonstige Angaben";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";;6134;6134;6134;6134
2017;"D._sonstige Angaben";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";;4328;4328;4328;4328
2017;"D._sonstige Angaben";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";;848;848;848;848
2017;"D._sonstige Angaben";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1., D.2. oder D.3. enthalten ist (in A.7. enthalten)";;0;0;0;0
2017;"D._sonstige Angaben";"D.5._Durchschnittlicher Rechnungszins des ersten Geschäftsjahres in %";;2,68;2,68;2,68;2,68
2017;"D._sonstige Angaben";"D.6._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben).";;0;0;0;0
2017;"D._sonstige Angaben";"D.7._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 140 Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben)";;1;1;1;1
2017;"D._sonstige Angaben";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";;627130;627130;627130;627130
2017;"D._sonstige Angaben";"D.9._Zusätzlicher Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife mit einem Rechnungszins über 2,75% auf 2,75% (nicht in A.7. enthalten)";;17561;17561;17561;17561
2017;"D._sonstige Angaben";"D.10._Für PK, die in D.9. keine Eintragung zu machen haben: Zusätzlicher Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife um 10 Basispunkte (nicht in A.7. enthalten)";;;;;
2017;"D._sonstige Angaben";"D.11._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinsverstärkung für aufsichtsrechtlich genehmigte Tarife";;21423;21423;21423;21423
2017;"D._sonstige Angaben";"D.12._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinszusatzreserve gem. § 5 Abs. 3 DeckRV";;6395;6395;6395;6395
2017;"E.";"Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2017;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.1._Zusätzlicher Schutz der Versorgungsberechtigten durch Arbeitgeber/Dritte in % der Deckungsrückstellung";;100;;;
2017;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.2.";;;;;
2017;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.3.";;;;;
2017;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.4.";;;;;
2017;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.5.";;;;;
2017;"F.";"Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"Für das Folgejahr deklarierte Gesamtverzinsung (Rechnungszins zuzüglich Zinsüberschussanteilsatz bei den im Folgejahr für das Neugeschäft offenen Tarifen):";;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.1._Rentenversicherungen in der Aufschubzeit (Anwartschaftszeit)";1,75;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.2._Rentenversicherungen in der Rentenbezugszeit";1,75;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.3._Gesamtzinssatz für die verzinsliche Ansammlung";1,75;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.4._Für das Folgejahr deklarierte Zins-Direktgutschrift (bei den im Folgejahr für das Neugeschäft offenen Tarifen)";0;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.5._Termin des Beschlussvorschlags des Verantwortlichen Aktuars für den Vorstand";43073;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.6._Beschlusstermin des Vorstands";43073;;;;
2017;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.7._Beschluss des Vorstands weicht nicht vom Beschlussvorschlag des Verantwortlichen Aktuars ab";;;;;
2018;"A.";"Ergebnisprognose des ersten Geschäftsjahres";;;;;
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";;39034;39034;39034;39034
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";;173;173;173;173
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";;25700;25700;25700;25700
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";;13300;13300;13300;13300
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";;12400;12400;12400;12400
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";;842;0;710;0
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";;25;25;25;25
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";;16448;16448;16448;16448
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";;44490;39721;44358;39701
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";;20;20;20;20
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";;1609;1609;1609;1609
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";;2780;2780;2780;2780
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";;1303;1303;1303;1303
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";;1477;1477;1477;1477
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";;0;3927;0;3947
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";;64;64;64;64
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";;363;363;363;363
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";;-283;-283;-283;-283
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.15._Ausgleichsposten aus dem Vorjahr";;0;0;0;0
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";;80;80;80;80
2018;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";;0;0;0;0
2018;"B.";"Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";;;;;
2018;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";;37170;37170;37170;37170
2018;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung (inkl. SÜAF, entsprechend NW 702 Seite 1, Zeile 19)";;13439;13439;13439;13439
2018;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;;;;
2018;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.4._davon: stille Nettoreserven";;;;;
2018;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";;;;;
2018;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.6._Solvabilitätskapitalanforderung";;28614;28614;28614;28614
2018;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";;;;;
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des ersten Geschäftsjahres";;40875;40875;18976;18976
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";;9115;9115;4232;4232
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.3._davon: in Immobilien";;0;0;0;0
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";;0;0;0;0
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des ersten Geschäftsjahres";;3537;5956;45757;48176
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.6._davon: in zum Nennwert bilanzierten Kapitalanlagen";;0;0;9151;9151
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im ersten Geschäftsjahr";;92477;92477;92477;92477
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des ersten Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";;713289;713289;713289;713289
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.9._Buchwert der Kapitalanlagen zum Ende des Vorjahres (Formblatt 1, Aktivseite, C., RechVersV)";;682279;682279;682279;682279
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.10._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 139 Abs. 3 VAG";;37338;37338;-26781;-26781
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.11._Sicherungsbedarf gem. § 139 Abs. 4 VAG";;161112;;;
2018;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"";;;;;
2018;"D.";"sonstige Angaben";;;;;
2018;"D._sonstige Angaben";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";;2575;2575;2575;2575
2018;"D._sonstige Angaben";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";;3924;3924;3924;3924
2018;"D._sonstige Angaben";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";;745;745;745;745
2018;"D._sonstige Angaben";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1., D.2. oder D.3. enthalten ist (in A.7. enthalten)";;0;0;0;0
2018;"D._sonstige Angaben";"D.5._Durchschnittlicher Rechnungszins des ersten Geschäftsjahres in %";;2,59;2,59;2,59;2,59
2018;"D._sonstige Angaben";"D.6._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Erläuterungsbogen).";;1;1;1;1
2018;"D._sonstige Angaben";"D.7._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 140 Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Erläuterungsbogen)";;0;0;0;0
2018;"D._sonstige Angaben";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";;668497;668497;668497;668497
2018;"D._sonstige Angaben";"D.9._Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife mit einem Rechnungszins über 2,75% auf 2,75% ohne Berücksichtigung einer ggf. vorhandenen pauschalen Verstärkung (nicht in A.7. enthalten)";;29317;29317;29317;29317
2018;"D._sonstige Angaben";"D.10._Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife um 10 Basispunkte ohne Berücksichtigung einer ggf. vorhandenen pauschalen Verstärkung (nicht in A.7. enthalten)";;6009;6009;6009;6009
2018;"D._sonstige Angaben";"D.11._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinsverstärkung für aufsichtsrechtlich genehmigte Tarife (Summe der Aufwendungen zur Verstärkung der Rechnungsgrundlage Zins von 2011 bis 2018)";;23304;23304;23304;23304
2018;"D._sonstige Angaben";"D.12._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinszusatzreserve gem. § 5 Abs. 3 DeckRV";;9515;9515;9515;9515
2018;"D._sonstige Angaben";"D.13._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres für aufsichtsrechtlich genehmigte Tarife enthaltene pauschale Verstärkung, die für die Rechnungsgrundlage Zins verwendet werden kann.";;0;0;0;0
2018;"E.";"Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2018;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.1._Zusätzlicher Schutz der Versorgungsberechtigten durch Arbeitgeber/Dritte in % der Deckungsrückstellung";;100;;;
2018;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.2.";;;;;
2018;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.3.";;;;;
2018;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.4.";;;;;
2018;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.5.";;;;;
2018;"F.";"Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"Für das Folgejahr deklarierte Gesamtverzinsung (Rechnungszins zuzüglich Zinsüberschussanteilsatz bei den im Folgejahr für das Neugeschäft offenen Tarifen):";;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.1._Rentenversicherungen in der Aufschubzeit (Anwartschaftszeit)";1,75;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.2._Rentenversicherungen in der Rentenbezugszeit";1,75;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.3._Gesamtzinssatz für die verzinsliche Ansammlung";1,75;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.4._Für das Folgejahr deklarierte Zins-Direktgutschrift (bei den im Folgejahr für das Neugeschäft offenen Tarifen)";0;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.5._Termin des Beschlussvorschlags des Verantwortlichen Aktuars für den Vorstand";43437;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.6._Beschlusstermin des Vorstands";43437;;;;
2018;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.7._Beschluss des Vorstands weicht nicht vom Beschlussvorschlag des Verantwortlichen Aktuars ab";0;;;;
2019;"A.";"Ergebnisprognose des ersten Geschäftsjahres";;;;;
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";;37046;37046;37046;37046
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";;230;230;230;230
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";;24767;24767;24767;24767
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";;11967;11967;11967;11967
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";;12800;12800;12800;12800
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";;0;0;1478;0
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";;23;23;23;23
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";;19734;19734;19734;19734
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";;35934;36785;39173;36582
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";;20;20;20;20
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";;1494;1494;1494;1494
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";;2756;2756;2756;2756
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";;1340;1340;1340;1340
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";;1416;1416;1416;1416
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";;1761;910;0;1113
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";;58;58;58;58
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";;309;309;309;309
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";;-259;-259;-259;-259
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.15._Ausgleichsposten aus dem Vorjahr";;0;0;0;0
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";;50;50;50;50
2019;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";;0;0;0;0
2019;"B.";"Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";;;;;
2019;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";;36296;36296;36296;36296
2019;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung (inkl. SÜAF, entsprechend NW 702 Seite 1, Zeile 19)";;12395;12395;12395;12395
2019;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;;;;
2019;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.4._davon: stille Nettoreserven";;;;;
2019;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";;;;;
2019;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.6._Solvabilitätskapitalanforderung";;29996;29996;29996;29996
2019;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";;;;;
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des ersten Geschäftsjahres";;132665;132665;44944;44944
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";;26533;26533;8989;8989
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.3._davon: in Immobilien";;0;0;0;0
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";;0;0;0;0
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des ersten Geschäftsjahres";;2077;4300;62621;64844
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.6._davon: in zum Nennwert bilanzierten Kapitalanlagen";;0;0;12524;12524
2019;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im ersten Geschäftsjahr";;85492;85492;85492;85492
